               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.034517,            0.083427,           0.0034331,             0.87726,              0.8622,             0.89776,             0.45382,            0.037413,            0.065891,            0.003689,             0.00811,             0.00811,             0.00811
                  65,            0.034874,            0.085438,           0.0032946,             0.86993,             0.84196,             0.89375,             0.45228,            0.037787,            0.065407,           0.0037021,             0.00808,             0.00808,             0.00808
                  66,            0.034944,            0.085359,           0.0034835,             0.87033,             0.87021,             0.89646,             0.44622,            0.038171,            0.066317,           0.0035835,             0.00805,             0.00805,             0.00805
                  67,              0.0346,            0.083974,           0.0031263,             0.88147,              0.8501,             0.89339,             0.44407,            0.038123,            0.067052,           0.0036886,             0.00802,             0.00802,             0.00802
                  68,            0.034561,              0.0833,           0.0032638,             0.87399,             0.85407,             0.89505,             0.44874,            0.037799,            0.067234,           0.0035385,             0.00799,             0.00799,             0.00799
                  69,            0.034808,            0.085697,           0.0033532,             0.86007,             0.85849,             0.89384,             0.45451,             0.03792,            0.067152,           0.0035851,             0.00796,             0.00796,             0.00796
                  70,            0.034471,            0.084935,           0.0030167,             0.88207,             0.86168,             0.89684,             0.44926,             0.03848,            0.067389,           0.0035512,             0.00793,             0.00793,             0.00793
                  71,            0.034599,            0.085034,           0.0031745,              0.8536,             0.86552,             0.88877,             0.45376,            0.037901,            0.067623,           0.0035617,              0.0079,              0.0079,              0.0079
                  72,            0.034338,            0.085455,           0.0032781,             0.85513,              0.8636,             0.88509,             0.44477,            0.038397,            0.067785,           0.0035983,             0.00787,             0.00787,             0.00787
                  73,            0.034329,            0.085156,           0.0033025,             0.85691,             0.86398,             0.89052,             0.45083,            0.038233,            0.068465,           0.0039102,             0.00784,             0.00784,             0.00784
                  74,            0.034655,            0.085587,           0.0033872,             0.88738,             0.84935,             0.88595,             0.44795,            0.038037,            0.067174,           0.0035395,             0.00781,             0.00781,             0.00781
                  75,            0.034172,            0.085477,           0.0032951,             0.87008,             0.85967,             0.89187,             0.44786,            0.037925,             0.06721,            0.003532,             0.00778,             0.00778,             0.00778
                  76,            0.034356,            0.084978,           0.0029515,             0.86395,             0.88401,              0.8932,             0.45267,            0.037718,            0.067697,           0.0038188,             0.00775,             0.00775,             0.00775
                  77,            0.033906,            0.084987,           0.0033526,             0.86474,             0.87136,             0.89046,             0.44475,            0.037996,            0.067481,           0.0039626,             0.00772,             0.00772,             0.00772
                  78,             0.03426,            0.082657,           0.0030498,             0.88833,             0.86649,             0.89646,             0.44967,            0.037737,            0.066426,           0.0037017,             0.00769,             0.00769,             0.00769
                  79,            0.034389,            0.083779,           0.0032678,             0.86469,             0.86826,             0.89618,             0.45001,            0.037727,            0.067844,           0.0036858,             0.00766,             0.00766,             0.00766
                  80,            0.034447,            0.084711,           0.0031533,             0.89101,             0.85349,             0.90287,             0.45345,            0.038111,            0.067769,           0.0034757,             0.00763,             0.00763,             0.00763
                  81,            0.034285,            0.085199,           0.0032088,             0.88434,              0.8434,             0.89106,              0.4354,            0.038482,            0.068604,           0.0036728,              0.0076,              0.0076,              0.0076
                  82,            0.033886,            0.084302,           0.0031023,             0.86076,             0.85198,             0.88385,             0.44543,            0.038399,            0.068793,           0.0038905,             0.00757,             0.00757,             0.00757
                  83,            0.034016,            0.084268,           0.0031232,             0.86405,             0.87475,             0.89054,             0.45431,            0.037686,             0.06786,           0.0038934,             0.00754,             0.00754,             0.00754
