               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.042393,            0.025355,           0.0084948,             0.52788,             0.69465,             0.62203,             0.35388,            0.027683,            0.013601,           0.0064797,              0.0079,              0.0079,              0.0079
                  72,            0.042099,            0.026132,           0.0086072,             0.56323,             0.68504,             0.62901,             0.35632,              0.0274,            0.013532,           0.0062202,             0.00787,             0.00787,             0.00787
                  73,              0.0425,            0.026085,           0.0085482,             0.52437,              0.6996,             0.61673,             0.35455,            0.027263,            0.013524,           0.0066643,             0.00784,             0.00784,             0.00784
                  74,            0.043055,            0.026712,           0.0087288,             0.54063,             0.69557,             0.61762,             0.34644,            0.027256,            0.013536,           0.0064362,             0.00781,             0.00781,             0.00781
                  75,            0.041925,            0.026257,           0.0084877,             0.52987,             0.69314,             0.61539,             0.34653,             0.02782,            0.013508,           0.0069407,             0.00778,             0.00778,             0.00778
                  76,            0.042222,            0.024929,           0.0087384,             0.55777,             0.67928,             0.62636,             0.35294,             0.02776,            0.013578,           0.0063392,             0.00775,             0.00775,             0.00775
                  77,            0.042352,            0.026404,           0.0083958,             0.57016,             0.66122,             0.64295,             0.36556,            0.028088,            0.013456,           0.0063546,             0.00772,             0.00772,             0.00772
                  78,            0.042042,            0.025913,           0.0084863,             0.55215,             0.68134,             0.63647,             0.36364,            0.027724,            0.013366,           0.0066344,             0.00769,             0.00769,             0.00769
                  79,            0.041908,            0.025914,           0.0084778,             0.57066,              0.6748,             0.64214,              0.3636,            0.027537,            0.013418,            0.006432,             0.00766,             0.00766,             0.00766
                  80,            0.042407,            0.025366,            0.008533,             0.54427,             0.68358,             0.62853,             0.36134,            0.027108,            0.013392,            0.006534,             0.00763,             0.00763,             0.00763
                  81,            0.042141,             0.02581,           0.0084931,             0.56841,             0.69068,             0.65016,             0.37299,            0.026553,            0.013399,           0.0059565,              0.0076,              0.0076,              0.0076
                  82,            0.041851,            0.026348,           0.0084236,             0.56497,             0.68657,             0.64652,             0.36998,            0.027279,            0.013419,           0.0065126,             0.00757,             0.00757,             0.00757
                  83,            0.042079,            0.025848,           0.0083346,             0.55817,             0.69704,              0.6391,              0.3655,            0.027389,            0.013346,           0.0058675,             0.00754,             0.00754,             0.00754
                  84,            0.041911,            0.025228,           0.0082729,             0.54784,             0.69079,              0.6297,             0.36154,            0.026679,            0.013576,           0.0064101,             0.00751,             0.00751,             0.00751
                  85,            0.041824,            0.025486,           0.0083705,             0.56452,             0.67771,             0.62283,             0.35348,            0.027512,            0.013519,           0.0061646,             0.00748,             0.00748,             0.00748
                  86,            0.042274,            0.024881,           0.0083871,             0.55576,             0.69964,             0.63558,             0.36041,            0.027395,            0.013481,           0.0058502,             0.00745,             0.00745,             0.00745
                  87,            0.041871,             0.02552,           0.0083803,             0.55608,             0.69769,             0.63242,             0.35806,            0.027167,            0.013427,            0.006358,             0.00742,             0.00742,             0.00742
                  88,            0.041739,            0.025811,           0.0084606,             0.55803,             0.70263,             0.64967,             0.36773,            0.027352,             0.01343,           0.0062621,             0.00739,             0.00739,             0.00739
                  89,            0.041315,            0.025368,           0.0083215,             0.55325,             0.70959,             0.64828,             0.37618,            0.027261,            0.013462,           0.0061428,             0.00736,             0.00736,             0.00736
                  90,            0.041842,            0.026336,           0.0083013,             0.56174,              0.6892,             0.65054,             0.37347,            0.027208,            0.013463,           0.0063801,             0.00733,             0.00733,             0.00733
                  91,            0.041804,            0.025507,           0.0082651,             0.56351,             0.68246,             0.64888,             0.37363,             0.02667,            0.013541,           0.0060959,              0.0073,              0.0073,              0.0073
                  92,             0.04187,            0.025565,           0.0081366,             0.55409,             0.69852,             0.64438,             0.37451,            0.026798,            0.013516,           0.0061803,             0.00727,             0.00727,             0.00727
                  93,            0.041499,            0.025553,           0.0080814,             0.55534,             0.68693,             0.62642,             0.35378,            0.027059,            0.013504,           0.0066856,             0.00724,             0.00724,             0.00724
                  94,            0.041774,            0.025649,           0.0082379,             0.55029,             0.71138,             0.64087,             0.36999,            0.027031,            0.013395,           0.0064994,             0.00721,             0.00721,             0.00721
                  95,            0.041631,            0.025537,           0.0083197,             0.56089,             0.70603,             0.64331,             0.36916,            0.026615,            0.013498,           0.0062163,             0.00718,             0.00718,             0.00718
                  96,            0.041609,            0.024415,            0.008224,             0.56164,             0.67899,             0.63421,             0.36285,            0.027303,            0.013594,           0.0060144,             0.00715,             0.00715,             0.00715
                  97,             0.04076,            0.025171,           0.0079377,             0.55263,             0.69966,             0.63089,             0.36384,            0.026462,            0.013603,           0.0065467,             0.00712,             0.00712,             0.00712
                  98,            0.041659,            0.025019,           0.0083008,             0.56108,             0.70344,             0.64898,             0.37537,            0.025989,            0.013349,           0.0060576,             0.00709,             0.00709,             0.00709
                  99,            0.041479,            0.025568,           0.0080737,             0.54177,             0.69805,             0.63543,             0.36814,            0.026826,            0.013446,            0.006407,             0.00706,             0.00706,             0.00706
                 100,            0.041525,            0.025443,           0.0082519,              0.5598,             0.69243,             0.65126,             0.37535,            0.026214,            0.013412,           0.0061428,             0.00703,             0.00703,             0.00703
                 101,            0.041663,            0.025638,           0.0078016,             0.55779,             0.71446,             0.65618,             0.38101,            0.026512,            0.013461,           0.0061414,               0.007,               0.007,               0.007
                 102,            0.041546,            0.025412,           0.0080493,             0.54975,             0.71444,             0.64191,              0.3711,            0.026318,            0.013421,           0.0060264,             0.00697,             0.00697,             0.00697
                 103,            0.041267,            0.025001,           0.0079974,              0.5516,              0.7049,             0.64531,             0.37093,            0.026885,            0.013421,           0.0061267,             0.00694,             0.00694,             0.00694
                 104,            0.041412,            0.025329,           0.0077749,             0.55551,              0.6931,             0.64723,             0.37672,            0.026726,            0.013563,           0.0058264,             0.00691,             0.00691,             0.00691
                 105,            0.041643,            0.024889,           0.0079877,             0.58227,             0.67941,             0.65371,             0.37542,            0.026417,            0.013455,           0.0060483,             0.00688,             0.00688,             0.00688
                 106,            0.041288,            0.025006,           0.0080401,             0.55244,             0.69196,             0.64346,             0.37333,            0.026378,            0.013547,           0.0061595,             0.00685,             0.00685,             0.00685
                 107,             0.04081,            0.024833,           0.0079071,             0.53967,             0.71407,             0.64687,             0.37376,            0.026673,            0.013434,           0.0063033,             0.00682,             0.00682,             0.00682
                 108,            0.040859,            0.025362,           0.0079178,             0.54878,             0.70568,             0.64675,             0.37248,            0.025824,            0.013484,           0.0060241,             0.00679,             0.00679,             0.00679
                 109,            0.040934,             0.02491,           0.0080378,             0.54539,             0.72656,             0.65646,             0.37922,            0.026253,            0.013408,           0.0061034,             0.00676,             0.00676,             0.00676
                 110,            0.040757,             0.02537,            0.007671,             0.54947,              0.7139,             0.65349,             0.37706,            0.026414,            0.013564,            0.005971,             0.00673,             0.00673,             0.00673
                 111,            0.041141,            0.025703,           0.0078926,             0.56466,             0.69967,             0.64872,             0.37794,            0.026229,            0.013463,            0.005929,              0.0067,              0.0067,              0.0067
                 112,            0.040353,             0.02499,           0.0077672,              0.5531,             0.71052,             0.64912,             0.37725,            0.026533,            0.013523,           0.0058599,             0.00667,             0.00667,             0.00667
                 113,            0.040388,            0.024849,           0.0076474,             0.54618,             0.69485,             0.63982,             0.37212,            0.025985,            0.013452,           0.0062653,             0.00664,             0.00664,             0.00664
                 114,            0.040832,            0.025133,           0.0077932,             0.54158,             0.71021,             0.64968,             0.37395,            0.026404,            0.013441,            0.006249,             0.00661,             0.00661,             0.00661
                 115,            0.041022,            0.025206,           0.0078943,              0.5471,              0.7268,             0.65507,               0.382,            0.025806,            0.013511,           0.0059287,             0.00658,             0.00658,             0.00658
                 116,            0.040816,             0.02525,           0.0075305,             0.55168,             0.69023,               0.646,              0.3751,            0.025991,            0.013366,           0.0065409,             0.00655,             0.00655,             0.00655
                 117,             0.04051,            0.024739,           0.0076956,             0.55096,             0.71059,             0.64684,             0.37828,            0.025933,            0.013499,           0.0061293,             0.00652,             0.00652,             0.00652
                 118,            0.040623,            0.025238,           0.0078155,             0.56092,             0.69876,             0.65353,             0.38134,            0.026124,            0.013491,           0.0059646,             0.00649,             0.00649,             0.00649
                 119,             0.04103,            0.025742,           0.0076575,             0.55271,             0.71575,             0.64113,             0.37027,            0.026144,            0.013464,           0.0062319,             0.00646,             0.00646,             0.00646
                 120,             0.04061,            0.025029,           0.0074577,             0.54719,             0.72057,             0.65013,             0.37715,            0.026033,            0.013462,           0.0063754,             0.00643,             0.00643,             0.00643
                 121,            0.040753,            0.024949,           0.0075725,              0.5673,             0.68477,             0.64474,             0.37667,            0.026584,            0.013494,           0.0060998,              0.0064,              0.0064,              0.0064
                 122,            0.040634,            0.025749,           0.0075419,             0.56124,             0.70095,              0.6524,             0.38235,            0.026052,            0.013499,           0.0064189,             0.00637,             0.00637,             0.00637
                 123,            0.040362,            0.025201,            0.007559,             0.55801,             0.70487,             0.65301,             0.38397,            0.026491,            0.013459,           0.0065924,             0.00634,             0.00634,             0.00634
                 124,            0.040372,            0.024722,           0.0075469,             0.55258,             0.72561,             0.65066,             0.37766,             0.02614,            0.013461,           0.0063912,             0.00631,             0.00631,             0.00631
                 125,            0.040265,            0.024673,            0.007622,             0.55233,             0.70926,               0.645,              0.3771,            0.027029,            0.013484,           0.0066415,             0.00628,             0.00628,             0.00628
                 126,            0.041087,            0.025077,           0.0076436,             0.55791,             0.70807,             0.64423,             0.37663,             0.02654,            0.013556,           0.0064207,             0.00625,             0.00625,             0.00625
                 127,            0.040255,            0.024943,            0.007593,             0.57238,             0.69238,              0.6407,             0.37188,            0.025985,            0.013599,           0.0066354,             0.00622,             0.00622,             0.00622
                 128,            0.040743,            0.024791,           0.0077692,             0.55255,             0.69004,             0.64509,             0.37851,            0.026127,            0.013617,           0.0065376,             0.00619,             0.00619,             0.00619
                 129,            0.040298,            0.024548,           0.0073699,              0.5577,             0.69321,             0.64877,             0.37979,            0.026147,            0.013509,           0.0067071,             0.00616,             0.00616,             0.00616
                 130,            0.040386,            0.025297,           0.0075839,             0.55528,             0.71237,             0.65974,             0.38584,            0.025712,            0.013415,           0.0065163,             0.00613,             0.00613,             0.00613
                 131,            0.040401,            0.024499,           0.0075497,             0.56034,             0.69082,             0.64625,             0.37538,            0.025571,            0.013611,            0.006353,              0.0061,              0.0061,              0.0061
                 132,            0.040876,             0.02527,           0.0077062,             0.54347,             0.72991,             0.64169,             0.37574,            0.025548,            0.013599,           0.0064929,             0.00607,             0.00607,             0.00607
                 133,            0.039465,            0.024364,           0.0074441,             0.56144,             0.69471,             0.65214,             0.38365,            0.025555,            0.013663,           0.0062132,             0.00604,             0.00604,             0.00604
                 134,            0.040528,            0.024812,           0.0075404,             0.56837,             0.70103,             0.65239,             0.38139,            0.026264,            0.013573,           0.0063417,             0.00601,             0.00601,             0.00601
                 135,            0.040172,            0.025473,           0.0075099,             0.55753,             0.71503,             0.65067,             0.37806,            0.025983,            0.013561,           0.0062487,             0.00598,             0.00598,             0.00598
                 136,            0.040702,            0.025607,           0.0073779,             0.56142,             0.69614,             0.65175,             0.38148,            0.026005,            0.013447,           0.0063515,             0.00595,             0.00595,             0.00595
